Season,Player Name,Team,GP,TOI,G,A,FirstA,Points,Shots,iFenwick,iCorsi,ShPct,G/60,A/60,FirstA/60,Points/60,Shots/60,iFenwick/60,iCorsi/60,IGP,IAP,IPP,Sv%,Winner
2014-2015,Aaron Ekblad,Florida,81,1400:40:00,6,16,8,22,114,152,229,5.26,0.26,0.69,0.34,0.94,4.88,6.51,9.81,10.2,27.1,37.3,0,0
2015-2016,Aaron Ekblad,Florida,,,,,,,,,,,,,,,,,,,,,,
2012-2013,Aaron Gagnon,Winnipeg,10,73:16:00,3,0,0,3,11,14,17,27.27,2.46,0,0,2.46,9.01,11.46,13.92,60,0,60,0,0
2011-2012,Aaron Gagnon,Winnipeg,7,65:20:00,0,0,0,0,6,9,12,0,0,0,0,0,5.51,8.27,11.02,0,0,0,0,0
2010-2011,Aaron Gagnon,Dallas,19,142:14:00,0,2,0,2,8,18,25,0,0,0.84,0,0.84,3.37,7.59,10.55,0,66.7,66.7,0,0
2012-2013,Aaron Johnson,Boston,10,133:17:00,0,0,0,0,8,11,22,0,0,0,0,0,3.6,4.95,9.9,0,0,0,0,0
2011-2012,Aaron Johnson,Columbus,56,773:34:00,2,12,5,14,49,71,93,4.08,0.16,0.93,0.39,1.09,3.8,5.51,7.21,7.1,42.9,50,0,0
2013-2014,Aaron Ness,New York Islanders,20,264:42:00,1,2,0,3,22,30,46,4.55,0.23,0.45,0,0.68,4.99,6.8,10.43,33.3,66.7,100,0,0
2011-2012,Aaron Ness,New York Islanders,9,143:57:00,0,0,0,0,5,11,16,0,0,0,0,0,2.08,4.58,6.67,0,0,0,0,0
2012-2013,Aaron Palushaj,Colorado,25,261:34:00,2,7,3,9,27,35,46,7.41,0.46,1.61,0.69,2.06,6.19,8.03,10.55,18.2,63.6,81.8,0,0
2011-2012,Aaron Palushaj,Montreal,38,282:41:00,1,4,1,5,37,50,69,2.7,0.21,0.85,0.21,1.06,7.85,10.61,14.65,12.5,50,62.5,0,0
2013-2014,Aaron Rome,Dallas,25,297:17:00,0,1,1,1,14,21,35,0,0,0.2,0.2,0.2,2.83,4.24,7.06,0,10,10,0,0
2012-2013,Aaron Rome,Dallas,27,361:06:00,0,4,2,4,12,17,36,0,0,0.66,0.33,0.66,1.99,2.82,5.98,0,30.8,30.8,0,0
2011-2012,Aaron Rome,Vancouver,43,581:50:00,3,4,1,7,32,57,91,9.38,0.31,0.41,0.1,0.72,3.3,5.88,9.38,18.8,25,43.8,0,0
2010-2011,Aaron Rome,Vancouver,56,819:06:00,0,1,1,1,43,65,96,0,0,0.07,0.07,0.07,3.15,4.76,7.03,0,3.6,3.6,0,0
2013-2014,Aaron Volpatti,Washington,41,299:30:00,2,0,0,2,18,27,39,11.11,0.4,0,0,0.4,3.61,5.41,7.81,50,0,50,0,0
2012-2013,Aaron Volpatti,Washington,33,270:33:00,1,1,1,2,20,31,41,5,0.22,0.22,0.22,0.44,4.44,6.87,9.09,20,20,40,0,0
2011-2012,Aaron Volpatti,Vancouver,23,202:55:00,1,0,0,1,17,23,35,5.88,0.3,0,0,0.3,5.03,6.8,10.35,20,0,20,0,0
